  1000  1.0000E+00
   i   x             den           ener          pres          vel           cs
   219  2.622000E-01  1.758495E-03  4.157320E+01  4.873750E-02  6.292920E-02  6.796502E+00
   220  2.634000E-01  1.795005E-03  4.072768E+01  4.873761E-02  6.321724E-02  6.727033E+00
   221  2.646000E-01  1.832103E-03  3.990309E+01  4.873771E-02  6.350529E-02  6.658585E+00
   222  2.658000E-01  1.869794E-03  3.909881E+01  4.873782E-02  6.379333E-02  6.591139E+00
   223  2.670000E-01  1.908086E-03  3.831425E+01  4.873793E-02  6.408138E-02  6.524675E+00
   224  2.682000E-01  1.946985E-03  3.754885E+01  4.873804E-02  6.436942E-02  6.459175E+00
   225  2.694000E-01  1.986499E-03  3.680206E+01  4.873816E-02  6.465747E-02  6.394620E+00
   226  2.706000E-01  2.026633E-03  3.607334E+01  4.873828E-02  6.494552E-02  6.330994E+00
   227  2.718000E-01  2.067396E-03  3.536217E+01  4.873840E-02  6.523357E-02  6.268277E+00
   228  2.730000E-01  2.108793E-03  3.466807E+01  4.873852E-02  6.552162E-02  6.206455E+00
   229  2.742000E-01  2.150832E-03  3.399055E+01  4.873865E-02  6.580968E-02  6.145509E+00
   230  2.754000E-01  2.193521E-03  3.332914E+01  4.873878E-02  6.609773E-02  6.085424E+00
   231  2.766000E-01  2.236866E-03  3.268340E+01  4.873891E-02  6.638579E-02  6.026183E+00
   232  2.778000E-01  2.280874E-03  3.205288E+01  4.873905E-02  6.667385E-02  5.967773E+00
   233  2.790000E-01  2.325553E-03  3.143717E+01  4.873919E-02  6.696191E-02  5.910176E+00
   234  2.802000E-01  2.370910E-03  3.083585E+01  4.873934E-02  6.724997E-02  5.853379E+00
   235  2.814000E-01  2.416952E-03  3.024852E+01  4.873948E-02  6.753804E-02  5.797367E+00
   236  2.826000E-01  2.463687E-03  2.967482E+01  4.873963E-02  6.782610E-02  5.742126E+00
   237  2.838000E-01  2.511122E-03  2.911435E+01  4.873979E-02  6.811417E-02  5.687643E+00
   238  2.850000E-01  2.559264E-03  2.856677E+01  4.873994E-02  6.840224E-02  5.633903E+00
   239  2.862000E-01  2.608122E-03  2.803173E+01  4.874011E-02  6.869031E-02  5.580893E+00
   240  2.874000E-01  2.657702E-03  2.750888E+01  4.874027E-02  6.897839E-02  5.528601E+00
   241  2.886000E-01  2.708012E-03  2.699791E+01  4.874044E-02  6.926646E-02  5.477013E+00
   242  2.898000E-01  2.759061E-03  2.649849E+01  4.874061E-02  6.955454E-02  5.426118E+00
   243  2.910000E-01  2.810854E-03  2.601031E+01  4.874079E-02  6.984262E-02  5.375904E+00
   244  2.922000E-01  2.863402E-03  2.553308E+01  4.874097E-02  7.013070E-02  5.326358E+00
   245  2.934000E-01  2.916710E-03  2.506651E+01  4.874116E-02  7.041879E-02  5.277468E+00
   246  2.946000E-01  2.970788E-03  2.461032E+01  4.874135E-02  7.070687E-02  5.229225E+00
   247  2.958000E-01  3.025642E-03  2.416423E+01  4.874154E-02  7.099496E-02  5.181616E+00
   248  2.970000E-01  3.081282E-03  2.372799E+01  4.874174E-02  7.128305E-02  5.134630E+00
   249  2.982000E-01  3.137714E-03  2.330133E+01  4.874194E-02  7.157115E-02  5.088258E+00
   250  2.994000E-01  3.194947E-03  2.288402E+01  4.874215E-02  7.185924E-02  5.042488E+00
   251  3.006000E-01  3.252990E-03  2.247580E+01  4.874236E-02  7.214734E-02  4.997310E+00
   252  3.018000E-01  3.311849E-03  2.207645E+01  4.874258E-02  7.243544E-02  4.952715E+00
   253  3.030000E-01  3.371534E-03  2.168574E+01  4.874280E-02  7.272355E-02  4.908692E+00
   254  3.042000E-01  3.432053E-03  2.130344E+01  4.874302E-02  7.301166E-02  4.865233E+00
   255  3.054000E-01  3.493413E-03  2.092935E+01  4.874325E-02  7.329976E-02  4.822327E+00
   256  3.066000E-01  3.555624E-03  2.056326E+01  4.874349E-02  7.358788E-02  4.779965E+00
   257  3.078000E-01  3.618694E-03  2.020497E+01  4.874373E-02  7.387599E-02  4.738139E+00
   258  3.090000E-01  3.682631E-03  1.985428E+01  4.874398E-02  7.416411E-02  4.696840E+00
   259  3.102000E-01  3.747443E-03  1.951100E+01  4.874423E-02  7.445223E-02  4.656059E+00
   260  3.114000E-01  3.813140E-03  1.917494E+01  4.874449E-02  7.474036E-02  4.615787E+00
